,county,state,fips,latitude,longitude,5/31/20
0,Prince of Wales-Hyder Census Area,Alaska,02198,55.415683,-132.875734,0
1,Harris,Georgia,13145,32.731549,-84.912432,5
2,Bristol,Rhode Island,44001,41.705271,-71.285053,11
3,Turner,Georgia,13287,31.718232,-83.628567,13
4,Chambers,Texas,48071,29.703933,-94.668875,0
5,Autauga,Alabama,01001,32.536382,-86.64449,4
6,Mendocino,California,06045,39.432388,-123.442881,0
7,Webster,Kentucky,21233,37.520021,-87.685095,0
8,Decatur,Tennessee,47039,35.603422,-88.107384,0
9,Early,Georgia,13099,31.324191,-84.906723,31
10,Concho,Texas,48095,31.318865,-99.863648,0
11,Mecklenburg,Virginia,51117,36.687256,-78.368959,21
12,Live Oak,Texas,48297,28.351535,-98.126961,0
13,Franklin,Alabama,01059,34.441988,-87.842815,7
14,Hancock,Kentucky,21091,37.843389,-86.792773,0
15,Haskell,Kansas,20081,37.55855,-100.876869,0
16,St. Clair,Missouri,29185,38.039069,-93.773077,0
17,Marion,Missouri,29127,39.807538,-91.635379,0
18,Ramsey,Minnesota,27123,45.01525,-93.100141,122
19,Thurston,Washington,53067,46.932598,-122.829441,2
20,Clark,Illinois,17023,39.332364,-87.791687,0
21,Windsor,Vermont,50027,43.588143,-72.591515,2
22,Lewis,West Virginia,54041,38.988844,-80.495518,1
23,Cumberland,North Carolina,37051,35.050192,-78.828719,17
24,Union,Arkansas,05139,33.168219,-92.598145,8
25,Sunflower,Mississippi,28133,33.605529,-90.59509,3
26,St. Charles,Louisiana,22089,29.913833,-90.359314,44
27,Henry,Missouri,29083,38.386491,-93.792628,3
28,Washington,North Carolina,37187,35.844589,-76.572334,3
29,Pocahontas,West Virginia,54075,38.332513,-80.012092,0
30,Nolan,Texas,48353,32.312338,-100.418108,0
31,Jackson,Iowa,19097,42.164281,-90.574597,0
32,Anne Arundel,Maryland,24003,38.993374,-76.560511,174
33,Red River,Louisiana,22081,32.101213,-93.34905,7
34,Kemper,Mississippi,28069,32.750136,-88.625631,11
35,Winneshiek,Iowa,19191,43.292989,-91.850788,0
36,Wabaunsee,Kansas,20197,38.955154,-96.201262,0
37,Morgan,Illinois,17137,39.716806,-90.202277,1
38,Scott,Mississippi,28123,32.427127,-89.533209,12
39,Wayne,Nebraska,31179,42.210746,-97.126243,0
40,Newton,Missouri,29145,36.908017,-94.334741,1
41,Kandiyohi,Minnesota,27067,45.152714,-95.004981,1
42,Lucas,Ohio,39095,41.682321,-83.468867,242
43,Hale,Texas,48189,34.068436,-101.822888,4
44,Monroe,New York,36055,43.464475,-77.664656,218
45,Lenoir,North Carolina,37107,35.238062,-77.639023,7
46,Kent,Rhode Island,44003,41.67775,-71.576314,68
47,Fayette,Indiana,18041,39.639655,-85.185032,7
48,Aroostook,Maine,23003,46.727057,-68.64941,1
49,Sawyer,Wisconsin,55113,45.864913,-91.14713,0
50,Knox,Texas,48275,33.616657,-99.747112,0
51,Washita,Oklahoma,40149,35.290177,-98.991962,0
52,Craighead,Arkansas,05031,35.828268,-90.630411,0
53,Cass,Michigan,26027,41.91624,-85.999457,3
54,Morgan,Georgia,13211,33.593732,-83.492324,0
55,Unknown,New Hampshire,0<NA>,,,0
56,Waynesboro city,Virginia,51820,38.067157,-78.90142,0
57,Adams,Nebraska,31001,40.520632,-98.500044,11
