,state,latitude,longitude,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20
0,Alabama,33.2588817,-86.8295337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,11,29,39,51,78,106,131,157,196,241,377,511,581,688,819,893,980,1052,1223,1483,1602,1753,1940,2157,2316,2688,2930,3198,3544,3715,3930,4051,4319,4545,4687,4862,5051,5287,5561,5799,5990,5990,6384,6500,6710,6869,7044,7252,7566,7840,8059,8384,8633,8985,9318,9600,9815,10080,10373,10607,10997,11270,11564,11661,11966,12249,12916,13145,13521,13962,14319,14818,15461,15840,16325,16819,17143,17731,18397,18527,18612,18831,19139,19784,20235,20653,21140,21694,22533,23387,24270,25258,25908,26545,26943,27812,28597,29124,29593,30018,30650,31601,32733,33701,34591,34944,36654,37515,38417,39558,41305,42279,43346,44268,45149,45785
1,Alaska,64.4459613,-149.680909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,5,8,11,13,18,30,34,41,56,58,85,102,114,119,132,143,157,171,185,190,213,226,235,246,257,272,277,285,293,300,309,314,319,321,329,335,337,339,339,340,345,351,355,355,364,365,368,370,371,372,374,377,378,379,379,383,383,383,388,388,388,388,400,401,401,403,407,407,408,410,411,424,429,433,459,466,486,504,512,523,535,543,562,572,592,609,624,653,660,663,675,695,707,720,741,752,758,760,789,813,833,851,880,901,937,975,1014,1060,1107,1134,1162,1180,1425
2,Arizona,34.395342,-111.7632755,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,6,9,9,9,12,12,18,20,27,45,68,101,149,231,322,394,499,654,760,906,1140,1273,1396,1579,1752,1999,2246,2435,2547,2692,2966,3057,3327,3470,3616,3712,3854,4119,4370,4555,4755,4866,5030,5238,5504,5749,5972,6198,6363,6575,6817,7206,7491,7857,8114,8375,8729,9095,9315,9855,10250,10403,10656,10992,11399,11815,12242,12704,12964,13220,13553,13826,14227,14485,14909,15186,15384,15650,16068,16587,17058,17767,18412,18603,19695,20770,21249,22783,23759,25262,25946,26549,28041,29380,31112,32693,33734,34869,37189,38939,41386,44807,48011,50474,52478,56213,57996,61046,64409,67874,71617,72236,76891,81724,85040,89454,92144,95664,99014,102623,108614
3,Arkansas,35.2048883,-92.4479108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,3,3,3,4,62,100,122,165,192,219,280,335,381,409,426,472,522,583,642,703,742,836,874,945,999,1117,1169,1226,1278,1408,1496,1567,1618,1693,1742,1779,1971,1988,2274,2597,2808,2909,2999,3067,3125,3191,3279,3335,3370,3434,3488,3523,3609,3701,3745,3745,4010,4041,4162,4234,4364,4461,4576,4757,4811,4921,5001,5456,5610,5773,5919,6026,6177,6274,6535,6773,7008,7247,7436,7811,8060,8418,8644,9094,9419,9733,10073,10361,10809,11540,12088,12493,12909,13183,13592,13912,14613,15123,15542,16064,16657,17353,18038,18716,19284,19792,20229,20749,21166,22045,22584,23172,23777,24216,24471,24512
4,California,36.7014631,-118.7559974,0,0,0,0,2,2,2,2,2,3,3,3,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,10,10,10,10,10,10,11,11,12,12,21,24,34,50,58,79,93,99,141,173,216,274,361,362,539,673,801,971,1195,1344,1580,1995,2407,2874,3732,4459,4890,5593,6872,7920,9097,10431,11573,12394,14468,15436,16717,18223,19036,20315,20911,21955,23046,24501,25722,26670,28094,29397,30267,32493,34239,36110,38209,39952,40929,42089,43472,44631,47179,48527,50390,51641,53154,54108,56647,58753,60231,61839,64549,65536,67228,68847,70620,72637,74326,76374,77774,79061,81242,83458,85447,87573,89804,91222,93596,96506,98022,100716,103443,106606,108561,111263,113700,115826,118553,122058,124801,126852,129871,132696,135682,139207,142443,145817,148029,151353,154480,158265,162495,166160,170319,173733,179758,186210,190749,195730,201351,205199,209817,217884,225454,232525,240166,244042,246339,257826,264180,277087,284762
5,Colorado,38.7251776,-105.6077167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,8,12,17,34,47,75,97,130,153,173,206,268,352,461,577,698,885,1049,1380,1667,1966,2198,2475,2785,3130,3468,3879,4245,4596,4816,5041,5238,5727,5970,6300,6660,7003,7224,7522,7870,8187,8546,8815,9144,9477,9858,10196,11004,11666,12093,12488,12886,13268,13699,14128,14495,14855,15103,15484,15880,16324,16710,17170,17461,17601,17835,18101,18390,18712,19058,19325,19562,19807,20060,20432,20685,21108,21305,21348,21588,21748,22037,22456,22860,23106,23272,23436,23667,23888,24086,24282,24412,24564,24706,24841,24969,25109,25273,25372,25525,25656,25865,26067,26320,26461,26615,26757,26936,27168,27450,27722,27913,28142,28324,28513,28786,29068,29308,29527,29686,29840,30169,34664
6,Connecticut,41.6500201,-72.7342163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,8,9,12,20,27,57,72,72,119,145,234,329,405,539,616,748,1126,1258,1571,1692,2198,2452,2625,3187,3645,3645,4902,5358,6103,6501,7377,7776,8275,9068,9663,10187,10528,11495,11888,12586,13092,13709,14210,14740,15234,15438,15782,16406,17152,17486,17486,17728,18261,18540,19105,19532,19954,20318,20453,20845,21219,21628,22076,22563,23171,23677,23908,24298,24457,24751,25033,25354,25660,25948,25974,26206,26353,26520,26652,27031,27203,27302,27396,27546,27798,27912,28000,28071,28213,28306,28511,28717,28782,28897,28990,29048,29042,29132,29246,29280,29299,29377,29386,29447,29495,29600,29670,29698,29811,29855,29913,29960,29960,29960,30153,30196,47033
7,Delaware,38.6920451,-75.4013315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,6,8,16,18,26,34,40,51,62,94,105,113,142,189,207,237,285,327,350,396,525,587,655,781,915,995,1096,1224,1344,1470,1597,1669,1718,1933,2121,2121,2315,2472,2697,2769,2884,2997,3409,3510,3847,3912,3975,4145,4245,4387,4455,4524,4887,4994,5148,5292,5292,5521,5681,5868,6108,6227,6371,6473,6650,6799,6941,7105,7233,7233,7469,7609,7698,7722,7779,7835,7990,8062,8165,8235,8261,8292,8308,8349,8431,8459,8498,8526,8563,8629,8675,8707,8775,8830,8865,8915,9009,9075,9162,9200,9223,9261,9350,9382,9439,9563,9704,9784,9811,10015,10193,10261,10382,10532,10630,12414
8,District of Columbia,38.893661249999994,-76.98788325388196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10569
9,Federal prisons,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8198
10,Florida,27.7567667,-81.4639835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,7,10,13,15,23,29,48,75,99,100,186,299,421,549,738,969,1191,1375,1637,2308,2843,3696,4175,5394,6654,6866,8913,10158,11421,12227,13193,14406,15312,16214,17364,18320,19680,20832,21433,22317,23143,24557,25287,26104,26841,27645,28082,29417,30289,30594,31281,31884,32593,32931,33423,34455,35188,35792,36608,37150,37707,38528,38893,39693,40284,40662,41599,42076,42880,43808,44482,45256,46105,46605,47127,48329,49097,49772,50506,51381,51885,52264,52913,54119,55045,55783,56448,57065,58381,59796,61096,62362,63539,64505,65596,66959,68626,70465,73021,75027,76775,79545,82139,85326,89115,93124,96575,99479,102743,108207,113155,122015,131512,139951,145182,151237,157752,167774,177171,188546,198533,204811,212093,223783
11,Georgia,32.3293809,-83.1137366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,5,10,17,23,31,42,73,99,121,146,197,287,485,555,621,772,1026,1246,1525,2000,2366,2651,2808,3927,4637,5345,5828,6155,6642,7308,8816,9895,10559,11478,12150,12443,13304,14565,14973,15652,17176,17651,18281,19386,19860,21167,21834,22438,23168,23430,24242,24857,25710,26194,27417,28259,28593,29377,29921,30665,31530,32092,32496,33487,33909,34828,35328,35869,36664,37104,37471,38172,38742,39686,40545,41361,42118,42770,43266,43845,44495,45118,45725,46175,46904,47741,48046,48724,49687,50441,51174,51713,52308,53052,53781,54773,55584,56600,57476,58210,58871,59822,60704,61795,63593,64484,65708,67587,69154,70865,72754,74738,76956,79161,81033,83982,87443,90219,93034,95226,96765,100168,100470
12,Hawaii,21.2160437,-157.975203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,4,6,8,10,15,25,36,36,53,53,88,89,91,101,139,139,163,189,209,238,299,329,349,364,387,387,414,414,434,460,464,470,483,489,500,513,518,520,522,525,528,532,536,536,537,539,543,545,546,547,546,546,551,552,555,555,556,557,559,560,563,562,562,563,563,563,563,564,565,561,562,562,562,562,562,565,567,570,571,571,572,572,574,583,592,594,595,601,604,611,625,642,646,654,654,661,679,706,706,729,731,734,749,765,780,786,812,813,830,839,856,884,906,930,936,976,1071
13,Idaho,43.6447642,-114.0154071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,6,20,28,31,31,55,62,67,107,151,158,189,227,320,371,464,584,662,693,699,751,772,785,859,883,890,909,926,935,1020,1033,1062,1070,1074,1120,1144,1201,1228,1237,1247,1247,1290,1290,1313,1334,1356,1356,1396,1414,1441,1457,1457,1474,1497,1521,1549,1549,1592,1592,1646,1646,1675,1675,1714,1714,1801,1801,1830,1830,1830,1901,1967,1967,1998,2027,2027,2115,2115,2167,2278,2301,2301,2345,2373,2406,2406,2476,2476,2507,2507,2547,2646,2700,2771,2838,2840,2949,2947,3019,3280,3280,3481,3481,3712,3948,4082,4257,4487,4739,4898,5052,5287,8539
14,Illinois,40.0796606,-89.4337288,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,5,5,6,7,7,12,25,32,46,64,66,83,161,272,422,584,752,1048,1284,1536,1864,2537,3023,3490,4594,5054,5992,6978,7693,8902,10354,11256,12254,13544,15077,16400,17863,19155,20827,21999,23221,24566,25705,27548,29129,30323,31479,33030,35078,36908,39626,41745,43871,45850,48062,50318,52878,56015,58465,61459,63737,65849,68192,70831,73719,76044,77700,78966,82980,84653,87896,90327,92415,94149,96443,97988,100375,102643,105400,107752,110260,111973,113151,114262,115789,117411,118873,120216,121190,122804,123786,124715,125871,126844,127711,128370,129167,129792,130558,131153,131826,132498,132970,133594,134140,134732,135423,136056,136707,137167,137762,138473,139363,140215,141000,141640,142373,143098,143920,144782,145644,146499,147129,147734,149440,149574
15,Indiana,40.3270127,-86.1746933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,10,12,12,15,19,24,29,37,59,85,127,203,269,367,476,644,978,1232,1512,1785,2157,2563,3037,3436,3951,4409,4954,5508,5941,6349,6903,7431,7923,8354,8521,8954,9536,10148,10634,11204,11681,12090,12431,13032,13674,14392,15004,15954,16581,17175,17828,18623,19287,19925,20499,21024,21862,22495,23138,23724,24118,24619,25119,25465,26044,26647,27271,27769,28245,28695,29263,29925,30398,30889,31364,31703,32066,32425,33055,33545,34194,34559,34813,35217,35692,36075,36555,36975,37375,37601,38010,38313,38724,39122,39518,39883,40403,40758,40985,41410,41718,42025,42387,42597,42835,43102,43616,44098,44532,44886,45183,45549,45907,46340,46867,47382,48151,48474,48576,48626
16,Iowa,41.9216734,-93.3122705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,14,17,17,18,23,23,37,43,44,68,89,104,123,145,178,234,297,335,423,496,546,613,698,786,868,945,1045,1144,1269,1387,1509,1586,1709,1898,1994,2140,2331,2512,2901,3158,3640,3747,3923,4444,5091,5475,5867,6375,6842,7144,7883,8642,9174,9702,10109,10401,11056,11454,11668,11956,12370,12909,13285,13671,14045,14324,14646,14949,15290,15614,16164,16486,16891,17243,17549,17696,18362,18578,18948,19235,19543,19690,20010,20291,20797,21145,21469,21703,21998,22228,22616,22963,23339,23706,23915,24071,24168,24448,24849,25262,25484,25951,26134,26457,26589,27359,27703,28059,28505,28830,29059,29499,30244,30448,31046,31502,31742,32137,32137
17,Kansas,38.27312,-98.5821872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,6,8,8,11,18,22,35,48,57,65,84,100,134,172,206,266,330,372,434,485,553,629,698,751,849,912,1046,1116,1117,1275,1344,1390,1441,1504,1615,1730,1821,1905,2048,2164,2331,2721,2959,3135,3277,3473,3652,3839,4413,4634,4885,5156,5383,5648,5993,6332,6667,6829,6951,7159,7240,7518,7705,7886,7939,7953,8303,8353,8507,8625,8908,8945,9003,9124,9198,9290,9370,9661,9689,9699,9919,9964,10091,10166,10305,10360,10405,10543,10608,10749,10822,10971,11018,11099,11317,11409,11642,11751,12019,12095,12134,12426,12535,12928,13102,13457,13612,13842,14205,14366,14826,14998,15655,15907,16077,16633,16855,17149
18,Kentucky,37.5726028,-85.1551411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,8,10,14,16,18,21,26,28,50,64,87,103,123,162,197,247,301,380,438,479,628,632,770,770,914,952,952,1146,1146,1335,1687,1687,1952,2007,2005,2167,2390,2477,2660,2907,2996,3150,3318,3416,3699,3832,4002,4079,4296,4458,4627,4801,4798,5049,5164,5741,5852,6045,6204,6354,6354,6589,6765,6765,7134,7352,7596,7596,7840,7975,8073,8191,8330,8475,8475,8475,8855,8981,9089,9367,9607,9607,9949,10088,10313,10608,10879,11188,11188,11378,11607,11782,11844,12065,12344,12344,12546,12546,12893,13094,13350,13525,13645,13734,14033,14255,14507,14748,15056,15121,15232,15507,15721,15956,16250,16250,16250,17023,17389,17519
19,Louisiana,30.8703881,-92.007126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,29,77,87,115,196,257,392,537,763,837,1171,1386,1793,2301,2736,3306,3531,4014,5198,6377,9088,10225,12431,12935,14788,16202,16944,18194,19159,19916,20496,20915,21414,21846,22424,23008,23470,23818,24409,24740,25141,25622,26011,26382,26643,26938,27156,27530,27871,28578,29007,29206,29539,29860,30259,30510,30713,31266,31452,31663,31898,32511,33330,33648,33925,34234,34452,34776,35054,36235,36636,36636,36878,37510,37659,38100,38401,38401,39165,39498,39919,40318,40687,41100,41522,41986,42314,42537,43095,43510,43943,44460,45706,46036,46575,47102,48009,48009,47876,48739,49124,49570,50890,51751,52670,53986,53986,55424,56231,57217,59259,60616,62321,62321,64210,65285,67195,68263
