,state,latitude,longitude,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/8/20
0,Alabama,33.2588817,-86.8295337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,10,10,23,27,32,38,44,45,49,63,65,69,79,91,92,98,113,117,132,146,151,155,162,182,194,200,207,207,217,225,238,252,268,286,285,287,295,312,340,366,379,386,389,399,431,446,469,479,481,484,485,500,519,526,538,546,548,563,577,580,588,607,614,626,641,648,648,648,671,684,687,713,724,738,749,763,767,767,768,779,784,803,815,830,831,833,856,881,886,897,908,908,918,939,961,973,994,995,995,995,1033
1,Alaska,64.4459613,-149.680909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,3,3,5,6,6,6,7,7,7,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,15,16,16,16,17
2,Arizona,34.395342,-111.7632755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,6,8,13,15,17,20,25,32,35,44,52,64,65,73,86,95,103,114,122,129,139,151,160,179,176,180,187,203,226,244,261,268,270,270,270,303,314,324,324,356,356,388,419,443,507,522,526,532,551,583,612,635,659,660,667,685,725,742,752,776,776,781,784,808,832,852,869,872,879,902,938,954,969,994,1002,1004,1027,1052,1083,1103,1133,1135,1147,1171,1191,1222,1258,1280,1283,1285,1329,1394,1422,1457,1495,1509,1513,1559,1635,1673,1707,1726,1733,1737,1927
3,Arkansas,35.2048883,-92.4479108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,6,7,8,10,12,12,14,16,16,18,18,21,21,25,27,29,32,33,37,37,38,39,41,42,42,45,47,48,51,51,57,57,61,64,72,76,80,83,87,87,88,88,91,94,95,97,98,98,98,98,100,102,107,110,113,115,116,117,119,120,125,132,133,133,133,136,142,151,152,154,154,155,161,165,171,176,177,179,182,188,197,208,214,224,225,227,237,240,240,249,259,264,265,270,277,279,281,286,287,292,292
4,California,36.7014631,-118.7559974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,4,4,3,5,7,12,16,18,24,25,30,38,48,63,77,90,106,118,139,166,192,230,253,277,336,367,417,479,528,563,583,617,691,744,824,917,997,1099,1135,1183,1239,1378,1487,1573,1637,1673,1727,1809,1889,1971,2064,2117,2153,2215,2315,2398,2468,2543,2616,2645,2708,2805,2881,2973,3053,3125,3157,3196,3317,3409,3493,3575,3645,3660,3675,3725,3801,3899,3982,4049,4076,4121,4208,4277,4347,4428,4506,4531,4556,4643,4749,4825,4869,4967,4987,5002,5088,5155,5238,5307,5375,5396,5446,5505,5603,5678,5738,5769,5799,5850,5947,6033,6127,6175,6194,6233,6301,6551
5,Colorado,38.7251776,-105.6077167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,5,5,6,7,7,11,20,19,31,44,47,51,67,77,90,102,117,130,138,167,179,212,227,249,263,280,300,326,343,358,378,385,410,437,460,502,617,627,630,646,675,704,714,753,764,774,783,831,844,866,880,886,890,906,926,976,995,1051,1090,1113,1122,1153,1191,1202,1213,1215,1220,1221,1236,1274,1303,1316,1323,1325,1335,1349,1367,1382,1389,1391,1391,1405,1413,1429,1439,1439,1453,1454,1461,1471,1482,1489,1493,1495,1495,1498,1511,1513,1515,1519,1520,1522,1526,1535,1541,1545,1545,1545,1545,1535,1542
6,Connecticut,41.6500201,-72.7342163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,7,8,12,13,13,15,31,39,47,56,79,93,105,145,194,202,245,274,306,340,384,503,565,611,654,680,819,879,960,1024,1105,1176,1217,1285,1340,1395,1447,1500,1571,1571,1646,1698,1766,1820,1868,1915,1943,1974,1995,2057,2126,2176,2214,2262,2297,2312,2362,2403,2442,2467,2478,2521,2538,2561,2580,2611,2645,2667,2682,2685,2700,2714,2734,2746,2759,2768,2778,2799,2813,2822,2841,2855,2857,2860,2867,2874,2883,2890,2899,2901,2910,2917,2925,2932,2936,2941,2944,2946,2948,2950,2958,2958,2958,2961,4338
7,Delaware,38.6920451,-75.4013315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,7,8,10,12,12,12,12,12,15,19,28,29,31,35,36,39,46,52,57,57,59,68,74,77,85,94,98,102,114,119,126,132,139,147,152,155,160,168,177,183,183,186,194,202,214,223,234,238,245,251,255,262,266,266,270,276,278,283,284,294,298,303,305,307,309,317,317,318,322,322,334,335,335,335,337,339,340,340,342,347,349,350,351,351,415,416,418,418,418,418,418,420,419,420,420,420,420,420,514
8,District of Columbia,38.893661249999994,-76.98788325388196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561
9,Federal prisons,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
10,Florida,27.7567667,-81.4639835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,5,7,9,11,13,13,18,18,23,29,35,54,56,63,85,87,164,170,195,221,236,283,309,354,390,438,461,499,571,596,668,725,748,774,822,866,892,986,1045,1054,1073,1086,1169,1216,1263,1309,1359,1374,1394,1466,1534,1595,1664,1710,1716,1730,1774,1822,1870,1911,1957,1966,1990,2045,2089,2137,2183,2226,2230,2245,2252,2312,2357,2406,2440,2444,2453,2523,2558,2599,2652,2680,2692,2704,2757,2793,2839,2867,2915,2921,2928,2983,3008,3050,3093,3133,3150,3162,3227,3270,3316,3354,3378,3407,3435,3493,3538,3605,3672,3690,3719,3766,3841
11,Georgia,32.3293809,-83.1137366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,10,14,20,25,25,32,40,48,64,69,80,87,111,139,163,184,201,211,229,329,362,379,416,429,433,465,525,552,587,650,673,687,775,798,846,878,895,903,912,990,1031,1095,1126,1163,1171,1179,1239,1290,1317,1345,1390,1393,1396,1434,1488,1507,1535,1578,1588,1599,1638,1664,1686,1763,1795,1809,1814,1835,1883,1920,1960,1974,1991,2040,2081,2089,2110,2136,2161,2165,2167,2195,2272,2316,2362,2405,2434,2438,2481,2516,2562,2592,2623,2629,2630,2635,2682,2685,2731,2756,2762,2764,2770,2791,2813,2835,2843,2843,2846,2864,2899
12,Hawaii,21.2160437,-157.975203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,3,4,5,5,5,6,6,8,9,9,9,9,9,9,9,10,10,10,12,12,13,13,14,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,19,19,19,19,19
13,Idaho,43.6447642,-114.0154071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,5,6,6,6,7,7,7,10,12,13,18,19,21,21,24,30,32,32,34,34,35,36,39,40,40,41,41,41,44,44,44,47,47,47,47,46,47,48,48,48,48,49,48,48,50,50,51,51,52,52,54,54,56,56,56,56,56,59,60,60,60,60,60,61,61,61,61,61,61,61,63,63,63,65,65,65,65,66,66,67,67,67,67,67,67,67,67,67,68,68,68,69,69,69,70,70,70,71,94
14,Illinois,40.0796606,-89.4337288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,6,9,12,16,19,26,34,47,66,73,99,141,163,210,244,274,307,380,462,528,597,677,720,798,868,949,1072,1132,1259,1290,1349,1468,1565,1688,1795,1875,1933,1983,2125,2215,2355,2456,2558,2617,2658,2833,2973,3110,3240,3348,3405,3458,3600,3791,3927,4058,4128,4176,4233,4378,4524,4606,4714,4789,4855,4884,4922,5082,5185,5269,5329,5389,5411,5524,5620,5735,5794,5863,5903,5923,6017,6094,6184,6259,6288,6307,6325,6397,6484,6536,6579,6624,6646,6670,6706,6769,6809,6846,6872,6887,6901,6922,6950,6986,7004,7013,7019,7025,7264
15,Indiana,40.3270127,-86.1746933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,4,6,7,12,14,17,25,31,32,35,49,65,78,102,116,127,143,173,203,245,300,330,342,349,386,435,476,521,544,561,576,634,665,705,740,785,812,843,900,963,1113,1174,1114,1131,1150,1210,1376,1413,1446,1489,1507,1539,1577,1618,1645,1690,1740,1750,1764,1823,1863,1912,1940,1963,1975,1983,2003,2029,2067,2109,2124,2133,2142,2196,2206,2230,2257,2291,2302,2315,2338,2354,2379,2395,2412,2421,2432,2446,2474,2490,2515,2535,2539,2552,2568,2577,2585,2594,2615,2618,2623,2639,2649,2661,2680,2686,2692,2697,2697
